firma_adi;adres;sehir;ilce;telefon;website;domain;birlik
SEM-AS GIDA TURİZM SAN.VE TİC.LTD.ŞTİ;"EMİRGAZİ MAHALLESİ,EMİRGAZİ KÜMEEVLERI,NO:1/A";ANKARA;YENİMAHALLE;(312) 8142025;;;İİB-SU ÜRÜNLERİ
BEREKET DÖNER SAN. TIC. A.Ş.;HADIMKÖY MAH.ÜRGÜPLÜ CAD.NO:11/1;İSTANBUL;ARNAVUTKÖY;(212) 7715555;;;İİB-SU ÜRÜNLERİ
KOÇBEY SU VE MEŞRUBAT PAZ.SAN.TİC.A.Ş;GÜLDİBİ MAH.GÜNDOĞDU CAD. NO:10;SAKARYA;SAPANCA;(264) 5828600;www.fuska.com.tr;fuska.com.tr;İİB-SU ÜRÜNLERİ
ALPAK GIDA BAHARAT VE AMB. SAN. TİC. LTD ŞTİ;ADNAN KAHVECİ MAH. DAVUTPAŞA CAD. NO:23 İÇ KAPI NO:1 :Ç2/A;İSTANBUL;BEYLİKDÜZÜ;(212) 6594763;https://alpak.com.tr/;alpak.com.tr;İİB-SU ÜRÜNLERİ
AF TEKS. TURZ. İNŞ. SAN. VE TİC. LTD. ŞTİ. ;FATİH CD.MEŞE SK.NO:6/B MERTER;İSTANBUL;GÜNGÖREN;(212) 2345899;;;İİB-SU ÜRÜNLERİ
MAHİR BEDİR İNŞ. VE DIŞ TİC. SAN. TİC. LTD. ŞTİ.;ZAMBAK SK NO 31/4;İSTANBUL;MALTEPE;(216) 5180383;www.bedirinsaat.com;bedirinsaat.com;İİB-SU ÜRÜNLERİ
ÖNEN GIDA SANAYİ ANONİM ŞİRKETİ;KEPEZ BELDESİ BOĞAZKENT MAH. ATATÜRK CAD. NO:51;ÇANAKKALE;MERKEZ;(286) 2620160;http://www.dardanel.com.tr;dardanel.com.tr;İİB-SU ÜRÜNLERİ
METİN ZAFER PAZ. VE DIŞ TİCARET LTD.ŞTİ.;ORDU CD.LALELI IŞ MERKEZINO:89/604;İSTANBUL; ;(212) 5178096;www.metinzafer.com;metinzafer.com;İİB-SU ÜRÜNLERİ
ENKA SÜT VE GIDA MAMÜLLERİ SAN.TİC.A.Ş.;SEDİRLER ÇIKIŞI  ADANA ÇEVREYOLU P.K.8;KONYA;KARATAY;(332) 3552300;www.enkasut.com.tr;enkasut.com.tr;İİB-SU ÜRÜNLERİ
ARBEY GIDA SANAYİ TİCARET ANONİM ŞİRKETİ;ATATÜRK MH.ATAPARK CD.TRENDIST ATAŞEHIR SİT.A3 BL..N:3/1/16;İSTANBUL;ATAŞEHİR;(216) 0000000;www.arbeygida.com;arbeygida.com;İİB-SU ÜRÜNLERİ
HAZER BABA GIDA SAN.IÇ VE DIŞ TIC. LTD.ŞTI.;KEMAL TÜRKLER MAH. SÜMER CAD.HANIMELİ SOK.NO:43;İSTANBUL;SANCAKTEPE;(216) 6222355;www.hazerbaba.com;hazerbaba.com;İİB-SU ÜRÜNLERİ
ESERLER GIDA SU ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ;YENİ MAH. AYANA 18 NOLU SOK. NO:53;EDIRNE;ENEZ;(284) 2081111;;;İİB-SU ÜRÜNLERİ
RAPAK SAN.ÜRÜNLERI DIŞ TICARET LTD. ŞTI.;AYTAÇ MAH.DEREBOYU CAD.NO.32;İSTANBUL;KÜÇÜKÇEKMECE;(212) 5483177;;;İİB-SU ÜRÜNLERİ
